name, alcohol content, calories, type
Abita Amber, 4.5, 128, lager
Abita Jockamo IPA, 6.5, 190, IPA
Abita Purple Haze, 4.2, 128, lager
Abita Strawberry, 4.2, 128, lager
Abita Satsuma, 5.2, 155, lager
Abita Andygator, 8.0, 235, lager
LA-31 Bière Pâle, 5.7, 172, ale
LA-31 Bière Noire, 4.8, 144, porter
Chafunkta Voo Ka Ray IPA, 7.5, 225, IPA
Chafunkta Old 504, 5.5, 165, porter
NOLA Blonde, 4.9, 147, ale
NOLA Brown, 3.9, 117, ale
NOLA Hopitoulas, 6.5, 195, IPA
Parish Canebrake, 4.9, 150, ale
Tin Roof Blonde Ale, 4.5, 135, ale
Tin Roof Amber Ale, 4.5, 135, ale
Tin Roof Voodoo Bengal Pale Ale, 5.5, 165, ale
Tin Roof Parade Ground Coffee Porter, 7.0, 210, porter
