name, lowest pressure (mbar), highest winds (mph), damage cost (mil), category
Arlene, 989, 70, 11.8, 0
Bret, 1002, 40, 9.3, 0
Cindy, 991, 75, 320, 1
Dennis, 930, 150, 4000, 4
Emily, 929, 160, 1000, 5
Franklin, 997, 70, 0, 0
Gert, 1005, 45, 6, 0
Harvey, 994, 65, 0, 0
Irene, 970, 105, 0, 2
Jose, 998, 60, 45, 0
Katrina, 902, 175, 108000, 5
Lee, 1006, 40, 0, 0
Maria, 962, 115, 3.1, 3
Nate, 979, 90, 0, 1
Ophelia, 976, 85, 70, 1
Philippe, 985, 80, 0, 1
Rita, 895, 180, 12000, 5
Stan, 977, 80, 3900, 1
Tammy, 1001, 50, 30, 0
Vince, 988, 75, 0, 1
Wilma, 882, 185, 29100, 5
Alpha, 998, 50, 0, 0
Beta, 962, 115, 15.5, 3
Gamma, 1002, 50, 18, 0
Delta, 980, 70, 364, 0
Epsilon, 981, 85, 0, 1
Zeta, 994, 65, 0, 0
Sandy, 940, 115, 68000, 3
